"","numemp","asset","RBCT2","rbc1rwaj","rbcrwaj"
"4217",11,19247,135.85,24.196112952064,25.4483194071261
"21413",15,17916,72,35.5346618503604,36.7790663509566
"51",24,47081,419.99,13.4319594842771,14.6830769524079
"1086",24,115614,456.84,30.3716107439881,31.6223965235142
"15791",7,11224,98.25,58.5383249096483,59.885885927074
"9990",23,56669,429.81,34.8012957797493,36.0690256669511
"2375",27,59588,462.53,17.5346504190312,18.790698407
"26942",73,203715,1989.11,10.4959142126851,11.7557215937854
"280",73,132389,1128.92,12.0232298549968,13.285389483777
"13578",5,9073,61.29,18.452146391198,19.7300357158495
"13156",11,34567,202,15.4388266914986,16.5075871410129
"27505",26,50786,439.9,12.2183420281935,13.4703449767615
"2317",8,10317,78.11,17.8662787620625,19.1190032091942
"16354",30,56925,430.44,16.1019916907208,17.3539680822225
"10797",21,49548,306.44,19.0307649755598,20.280880220814
"20350",51,94899,698,12.2780351359619,13.3785961382607
"4146",130,243767,445,13.7521863973227,14.0333848969234
"21498",104,189718,1534.06,11.4350494446021,12.6945304864592
"26535",122,274443,1355,14.7634332101112,15.9291258853457
"26677",21,58211,169.34,30.82815465667,32.0797585189477
"12788",78,154451,1040,10.2760184388642,11.1522941994758
"9133",25,27084,191.55,16.0982220117879,17.3491812111218
"8035",16,35028,327.93,12.0808775708708,13.3361634332966
"12432",15,33749,178,28.998673619565,30.0767362562155
"19606",88,207976,1111.82,26.793495287928,28.0446836591751
"5383",46,78948,533,12.5600960456757,13.5194728287575
"20527",18,22750,149.35,15.2048890210648,16.4560461424401
"900",82,154454,825,15.3126540569716,16.1164295610119
"17410",7,10399,88.5,13.1230248147046,14.377223190624
"16402",50,123127,1081.97,13.5731935562172,14.8256059928555
"14316",7,13798,69,16.3899446555978,17.3101286924051
"2681",33,69126,254,26.4428189346824,27.261302484452
"27503",16,61670,344.23,34.0706562903576,35.3988716940756
"14240",92,217000,1588.02,13.6775319948368,14.9323092541344
"2996",26,39897,343.3,12.6735152251556,13.9375529290475
"10618",22,71616,581.62,17.7006167042527,18.9562616228437
"32286",6,28580,36,50.4747626186906,50.9245377311344
"10704",7,12981,86.04,21.2642935969382,22.52694357698
"2557",100,168251,1129.79,11.9861982452558,13.2627712953602
"10506",4,7117,58.68,11.6022241893483,12.8629992179241
"15957",371,1139929,11328.43,11.8650374136852,13.1176794254492
"1847",24,40203,327.6,13.0788981277048,14.3324519681484
"12787",9,27451,149,15.6542403089262,16.5394326451805
"5694",18,25964,213.78,10.417260198634,11.7412803444509
"3105",26,40172,274.62,16.1919235620215,17.4505213680228
"976",27,62220,425.01,15.3237909962262,16.5767275893979
"8672",6,16810,153.07,16.0239194310115,17.2791811235933
"13731",6,14363,44,22.7663955176022,23.5089614203261
"23857",2976,10501141,89510.88,9.44776791277586,10.7003124941368
"4536",256,468492,4009.59,10.3059826825012,11.562757776903
"19859",44,117160,787.41,23.4291965767164,24.6814626421842
"23966",41,69416,612.8,7.13182839025035,8.39677323469185
